ID,LAT,LON
300020817,45.539050000014846,-73.6168700000223
100011748,45.51696799998849,-73.55404000000838
300020679,45.53599999998778,-73.59880000002121
100055268,45.55364656266389,-73.55576000000289
100003042,45.513849999990306,-73.58150999999043
100011747,45.50624999998413,-73.55778362489185
300020478,45.486899000008854,-73.58942289988197
100053059,45.54684399999691,-73.54238548496056
100047030,45.50600841008722,-73.55960186007067
100001753,45.53021600001728,-73.5444243498804
300021685,45.63159000000413,-73.61336999998205
100017441,45.50613400001726,-73.57587000000034
100003034,45.53044741011465,-73.56954000003557
100053210,45.59553741007792,-73.52043362493158
100035409,45.55773000000044,-73.64662000001287
300014996,45.52162341009835,-73.5778943498353
300014993,45.551457999980464,-73.65503289994655
100053209,45.508615999999286,-73.59116399999857
100052603,45.53416000001406,-73.59146289989626
100035408,45.543460410072136,-73.61668217493403
100012217,45.5196200000114,-73.58025000003758
300020816,45.53905000001472,-73.61685999996986
100007390,45.527771999974526,-73.58883144997802
300014995,45.520856410100826,-73.57602693495014
300022314,45.49538600001667,-73.56296258504207
100053055,45.511742000002315,-73.67253072242468
100003040,45.50127000000645,-73.54441000001643
100017523,45.51939499998195,-73.58866217491205
300014916,45.555462528950514,-73.58104322631594
100054073,45.560713000011546,-73.59063434996683
100004575,45.527496000022275,-73.57431999997455
100052606,45.55508399999383,-73.53881620990984
300014986,45.53052641007357,-73.59711507486745
100003041,45.51489999998093,-73.60750434987388
100003032,45.51621599998543,-73.56297000002306
100057050,45.65913000000324,-73.54248186656984
100025474,45.52781941006811,-73.60311144998084
100052600,45.543276410069176,-73.56190507483095
100057051,45.53016399999652,-73.6294258009158
100052602,45.70089541009982,-73.48325144999102
300028650,45.547048000011664,-73.6183847599502
100041114,45.55759241008793,-73.6732211350723
300014985,45.53027099999636,-73.59696072498079
100054585,45.50160300000423,-73.59793400000535
100057053,45.47370600001012,-73.6048611868484
100012218,45.53364999999771,-73.59459000000933
300014994,45.55089399999132,-73.65644144999231
100056188,45.521333410101654,-73.5554965248399
100011783,45.4704930000007,-73.6095643499056
100052605,45.59192899998931,-73.51000507487976
